Fichier,Section,Séquence,Texte ES,Texte EN,Texte FR,Nouveau ES,Nouveau EN,Nouveau FR
components/ApuRoomPage.tsx,ApuRoomPage,seq-008,Luna de miel o escapada romántica,Honeymoon or romantic getaway,Lune de miel ou escapade romantique,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-009,1 cama doble,1 double bed,1 lit double,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-010,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-011,1 cama doble,1 double bed,1 lit double,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-012,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/ApuRoomPage.tsx,ApuRoomPage,seq-013,Reservar esta habitación,Book this room,Réserver cette chambre,,,
components/CTASection.tsx,CTASection,seq-001,Reserva hoy,Book today,Réservez aujourd'hui,,,
components/CTASection.tsx,CTASection,seq-002,Reserva segura,Secure booking,Réservation sécurisée,,,
components/CTASection.tsx,CTASection,seq-003,Cancelación gratuita,Free cancellation,Annulation gratuite,,,
components/CTASection.tsx,CTASection,seq-004,Mejor precio,Best price,Meilleur prix,,,
components/DirectionsPage.tsx,DirectionsPage,seq-001,Cómo Llegar,How to Get There,Comment Arriver,,,
components/DirectionsPage.tsx,DirectionsPage,seq-002,Tu camino hacia el paraíso comienza aquí,Your journey to paradise starts here,Votre voyage vers le paradis commence ici,,,
components/DirectionsPage.tsx,DirectionsPage,seq-003,Desde el Aeropuerto de Santa Marta,From Santa Marta Airport,De l'aéroport de Santa Marta,,,
components/DirectionsPage.tsx,DirectionsPage,seq-004,Simón Bolívar (SMR),Simón Bolívar (SMR),Simón Bolívar (SMR),,,
components/DirectionsPage.tsx,DirectionsPage,seq-005,1h 30min - 2h,1h 30min - 2h,1h 30min - 2h,,,
components/DirectionsPage.tsx,DirectionsPage,seq-006,75 km,75 km,75 km,,,
components/DirectionsPage.tsx,DirectionsPage,seq-007,Costa Caribe Colombiana,Colombian Caribbean Coast,Côte Caraïbe Colombienne,,,
components/DirectionsPage.tsx,DirectionsPage,seq-008,Más cómodo,Most comfortable,Plus confortable,,,
components/DirectionsPage.tsx,DirectionsPage,seq-009,Transporte Privado,Private Transport,Transport Privé,,,
components/DirectionsPage.tsx,DirectionsPage,seq-010,Te recogemos en el aeropuerto,We pick you up at the airport,Nous venons vous chercher,,,
components/DirectionsPage.tsx,DirectionsPage,seq-011,,Door-to-door service with air-conditioned vehicle. The driver will wait at the exit with a sign with your name.,Service porte-à-porte avec véhicule climatisé. Le chauffeur vous attend à la sortie avec une pancarte à votre nom.,,,
components/DirectionsPage.tsx,DirectionsPage,seq-012,,WiFi on board,WiFi à bord,,,
components/DirectionsPage.tsx,DirectionsPage,seq-013,Aire acondicionado,Air conditioning,Climatisation,,,
components/DirectionsPage.tsx,DirectionsPage,seq-014,,Water included,Eau incluse,,,
components/DirectionsPage.tsx,DirectionsPage,seq-015,,No stops,Sans arrêt,,,
components/DirectionsPage.tsx,DirectionsPage,seq-016,$80.000 - $120.000 COP,"$80,000 - $120,000 COP",80 000 - 120 000 COP,,,
components/DirectionsPage.tsx,DirectionsPage,seq-017,Reservar transporte,Book transport,Réserver transport,,,
components/DirectionsPage.tsx,DirectionsPage,seq-018,Independencia,Independence,Indépendance,,,
components/DirectionsPage.tsx,DirectionsPage,seq-019,Alquiler de Vehículo,Car Rental,Location de Voiture,,,
components/DirectionsPage.tsx,DirectionsPage,seq-020,Explora a tu ritmo,Explore at your pace,Explorez à votre rythme,,,
components/DirectionsPage.tsx,DirectionsPage,seq-021,,Drive one of Colombia's most beautiful coastal roads. Free parking at the hotel.,Conduisez sur l'une des plus belles routes côtières de Colombie. Parking gratuit à l'hôtel.,,,
components/DirectionsPage.tsx,DirectionsPage,seq-022,Salida,Departure,Départ,,,
components/DirectionsPage.tsx,DirectionsPage,seq-023,Aeropuerto SMR → Vía al Mar,SMR Airport → Vía al Mar,Aéroport SMR → Vía al Mar,,,
components/DirectionsPage.tsx,DirectionsPage,seq-024,Tiempo,Time,Temps,,,
components/DirectionsPage.tsx,DirectionsPage,seq-025,45 min hasta el peaje,45 min to toll,45 min jusqu'au péage,,,
components/DirectionsPage.tsx,DirectionsPage,seq-026,Destino,Destination,Destination,,,
components/DirectionsPage.tsx,DirectionsPage,seq-027,"Palenque, Bolívar","Palenque, Bolívar","Palenque, Bolívar",,,
components/DirectionsPage.tsx,DirectionsPage,seq-028,Últimos 2 km son de terracería. Cualquier vehículo puede transitar.,Last 2 km are dirt road. Any vehicle can pass.,2 derniers km en route de terre. Tout véhicule peut passer.,,,
components/DirectionsPage.tsx,DirectionsPage,seq-029,Económico,Economical,Économique,,,
components/DirectionsPage.tsx,DirectionsPage,seq-030,Transporte Público,Public Transport,Transport Public,,,
components/DirectionsPage.tsx,DirectionsPage,seq-031,Experiencia local,Local experience,Expérience locale,,,
components/DirectionsPage.tsx,DirectionsPage,seq-032,Opción auténtica para viajeros aventureros. Te recogemos en el peaje si nos avisas.,Authentic option for adventurous travelers. We pick you up at the toll if you let us know.,Option authentique pour voyageurs aventureux. Nous venons vous chercher au péage si vous nous prévenez.,,,
components/DirectionsPage.tsx,DirectionsPage,seq-033,Terminal Santa Marta,Santa Marta Terminal,Terminal Santa Marta,,,
components/DirectionsPage.tsx,DirectionsPage,seq-034,Calle 41 # 9-10,Calle 41 # 9-10,Calle 41 # 9-10,,,
components/DirectionsPage.tsx,DirectionsPage,seq-035,Bus a Barranquilla,Bus to Barranquilla,Bus vers Barranquilla,,,
components/DirectionsPage.tsx,DirectionsPage,seq-036,"Berlinas, Marsol o Copetran","Berlinas, Marsol or Copetran","Berlinas, Marsol ou Copetran",,,
components/DirectionsPage.tsx,DirectionsPage,seq-037,Peaje Palenque,Palenque Toll,Péage Palenque,,,
components/DirectionsPage.tsx,DirectionsPage,seq-038,Bájate aquí (50 min),Get off here (50 min),Descendez ici (50 min),,,
components/DirectionsPage.tsx,DirectionsPage,seq-039,Moto-taxi,Moto-taxi,Moto-taxi,,,
components/DirectionsPage.tsx,DirectionsPage,seq-040,$10.000 COP al hotel,"$10,000 COP to hotel",10 000 COP jusqu'à l'hôtel,,,
components/DirectionsPage.tsx,DirectionsPage,seq-041,$15.000 COP,"$15,000 COP",15 000 COP,,,
components/DirectionsPage.tsx,DirectionsPage,seq-042,1h 15min total,1h 15min total,1h 15min total,,,
components/DirectionsPage.tsx,DirectionsPage,seq-043,¿Necesitas ayuda con tu trayecto?,Need help with your journey?,Besoin d'aide pour votre trajet ?,,,
components/DirectionsPage.tsx,DirectionsPage,seq-044,Nuestro equipo te orienta paso a paso. También coordinamos tu recogida personalizada.,Our team guides you step by step. We also coordinate your personalized pickup.,Notre équipe vous guide pas à pas. Nous coordonnons aussi votre prise en charge personnalisée.,,,
components/DirectionsPage.tsx,DirectionsPage,seq-045,Contactar por WhatsApp,Contact via WhatsApp,Contacter par WhatsApp,,,
components/DirectionsPage.tsx,DirectionsPage,seq-046,o llámanos al,or call us at,ou appelez-nous au,,,
components/DirectionsPage.tsx,DirectionsPage,seq-047,+57 310 527 0542,+57 310 527 0542,+57 310 527 0542,,,
components/DirectionsPage.tsx,DirectionsPage,seq-048,Ubicación Exacta,Exact Location,Emplacement Exact,,,
components/DirectionsPage.tsx,DirectionsPage,seq-049,"Carrera 1 # 23-58, Palenque","Carrera 1 # 23-58, Palenque","Carrera 1 # 23-58, Palenque",,,
components/DirectionsPage.tsx,DirectionsPage,seq-050,"9.773722, -75.645361","9.773722, -75.645361","9.773722, -75.645361",,,
components/DirectionsPage.tsx,DirectionsPage,seq-051,Copiar coordenadas,Copy coordinates,Copier coordonnées,,,
components/DirectionsPage.tsx,DirectionsPage,seq-052,¿Por qué elegirnos?,Why choose us?,Pourquoi nous choisir ?,,,
components/DirectionsPage.tsx,DirectionsPage,seq-053,Seguro incluido,Insurance included,Assurance incluse,,,
components/DirectionsPage.tsx,DirectionsPage,seq-054,Todos nuestros transportes están asegurados,All our transports are insured,Tous nos transports sont assurés,,,
components/DirectionsPage.tsx,DirectionsPage,seq-055,Puntualidad,Punctuality,Ponctualité,,,
components/DirectionsPage.tsx,DirectionsPage,seq-056,Valoramos tu tiempo. Siempre a tiempo.,We value your time. Always on time.,Nous valorisons votre temps. Toujours à l'heure.,,,
components/DirectionsPage.tsx,DirectionsPage,seq-057,Mejor precio,Best price,Meilleur prix,,,
components/DirectionsPage.tsx,DirectionsPage,seq-058,Sin intermediarios. Precio directo.,No intermediaries. Direct price.,Sans intermédiaires. Prix direct.,,,
components/GallerySection.tsx,GallerySection,seq-001,Cerrar,Close,Fermer,,,
components/HeroParallax.tsx,HeroParallax,seq-001,Palenque Eco Hotel,Palenque Eco Hotel,Palenque Eco Hotel,,,
components/HeroParallax.tsx,HeroParallax,seq-002,Tu nueva historia comienza aqui,Escape,L'évasion,,,
components/HeroParallax.tsx,HeroParallax,seq-003,"EN PALENQUE – RINCON DEL MAR, FRENTE AL MAR CARIBE COLOMBIANO",Begins Here,commence Ici,,,
components/HeroParallax.tsx,HeroParallax,seq-004,,Discover a sanctuary where time stops and every wave sings your freedom,Découvrez un sanctuaire où le temps s'arrête et chaque vague chante votre liberté,,,
components/HeroParallax.tsx,HeroParallax,seq-005,Ver habitaciones,View Rooms,Voir les chambres,,,
components/HeroParallax.tsx,HeroParallax,seq-006,Scroll,Scroll,Défiler,,,
components/RoomsPage.tsx,RoomsPage,seq-001,Descanso Perfecto,Perfect Rest,Repos Parfait,,,
components/RoomsPage.tsx,RoomsPage,seq-002,Nuestras Habitaciones,Our Rooms,Nos Chambres,,,
components/RoomsPage.tsx,RoomsPage,seq-003,Santuarios de paz donde cada detalle está pensado para tu descanso,Sanctuaries of peace where every detail is designed for your rest,Sanctuaires de paix où chaque détail est pensé pour votre repos,,,
components/RoomsPage.tsx,RoomsPage,seq-004,Reservar ahora,Book now,Réserver maintenant,,,
components/RoomsPage.tsx,RoomsPage,seq-005,Tranquilidad y esencia caribeña,Sleeping well is the greatest gift,Bien dormir est le plus beau cadeau,,,
components/RoomsPage.tsx,RoomsPage,seq-006,"construido con materiales locales, respetuoso con el entorno en el cual está ubicado. Cuenta con 14 habitaciones, y unas zonas comunes para disfrutar cómoda y tranquilamente del lugar.","Each room has been designed as an intimate refuge, with natural materials, warm lighting and views that invite rest. Here, deep sleep is not a luxury, it is our promise.","Chaque chambre a été conçue comme un refuge intime, avec des matériaux naturels, un éclairage chaleureux et des vues qui invitent au repos. Ici, le sommeil profond n'est pas un luxe, c'est notre promesse.",,,
components/RoomsPage.tsx,RoomsPage,seq-007,Cabaña APU,Cabaña APU,Cabaña APU,,,
components/RoomsPage.tsx,RoomsPage,seq-008,"Frente al mar, donde las olas cantan tu sueño","Oceanfront, where waves sing you to sleep","Face à la mer, où les vagues vous bercent",,,
components/RoomsPage.tsx,RoomsPage,seq-009,"Nuestra joya de la corona. Una cabaña privada a solo metros del océano, con terraza propia y hamaca bajo las estrellas. Despierta con el sonido de las olas y el aroma del mar.","Our crown jewel. A private cabin just meters from the ocean, with its own terrace and hammock under the stars. Wake up to the sound of waves and the scent of the sea.","Notre joyau. Une cabane privée à quelques mètres de l'océan, avec sa propre terrasse et hamac sous les étoiles. Réveillez-vous au son des vagues et à l'odeur de la mer.",,,
components/RoomsPage.tsx,RoomsPage,seq-010,Desde $160.000,"From $160,000",À partir de 160 000,,,
components/RoomsPage.tsx,RoomsPage,seq-011,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-012,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-013,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-014,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-015,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-016,Luna de miel o escapada romántica,Honeymoon or romantic getaway,Lune de miel ou escapade romantique,,,
components/RoomsPage.tsx,RoomsPage,seq-017,Usukulu,Usukulu,Usukulu,,,
components/RoomsPage.tsx,RoomsPage,seq-018,Elegancia costera con vistas panorámicas,Coastal elegance with panoramic views,Élégance côtière avec vues panoramiques,,,
components/RoomsPage.tsx,RoomsPage,seq-019,,Spacious suite with floor-to-ceiling windows that frame the ocean like a living painting. The perfect balance between luxury and nature.,Suite spacieuse avec des fenêtres du sol au plafond qui encadrent l'océan comme un tableau vivant. L'équilibre parfait entre luxe et nature.,,,
components/RoomsPage.tsx,RoomsPage,seq-020,Desde $115.000,"From $115,000",À partir de 115 000,,,
components/RoomsPage.tsx,RoomsPage,seq-021,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-022,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-023,1 cama sencilla,1 single bed,1 lit simple,,,
components/RoomsPage.tsx,RoomsPage,seq-024,Baño privado exterior,Private outdoor bathroom,Salle de bain privée extérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-025,1 doble + 1 sencilla,1 double + 1 single,1 double + 1 simple,,,
components/RoomsPage.tsx,RoomsPage,seq-026,Baño privado exterior,Private outdoor bathroom,Salle de bain privée ext.,,,
components/RoomsPage.tsx,RoomsPage,seq-027,Estancias prolongadas,Extended stays,Séjours prolongés,,,
components/RoomsPage.tsx,RoomsPage,seq-028,Habitación Lumbalu,Habitación Lumbalu,Habitación Lumbalu,,,
components/RoomsPage.tsx,RoomsPage,seq-029,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-030,,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-031,Desde $110.000,"From $110,000",À partir de 110 000,,,
components/RoomsPage.tsx,RoomsPage,seq-032,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-033,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-034,1 camarote,1 bunk bed,1 lit superposé,,,
components/RoomsPage.tsx,RoomsPage,seq-035,Baño exterior compartido,Shared outdoor bathroom,Salle de bain ext. partagée,,,
components/RoomsPage.tsx,RoomsPage,seq-036,1 doble + 1 camarote,1 double + 1 bunk,1 double + 1 superposé,,,
components/RoomsPage.tsx,RoomsPage,seq-037,Baño compartido,Shared bathroom,Salle de bain partagée,,,
components/RoomsPage.tsx,RoomsPage,seq-038,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-039,Habitación Sangaria,Habitación Sangaria,Habitación Sangaria,,,
components/RoomsPage.tsx,RoomsPage,seq-040,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-041,,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-042,Desde $140.000,"From $140,000",À partir de 140 000,,,
components/RoomsPage.tsx,RoomsPage,seq-043,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-044,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-045,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-046,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-047,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-048,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-049,Habitación Kombilesa,Habitación Kombilesa,Habitación Kombilesa,,,
components/RoomsPage.tsx,RoomsPage,seq-050,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-051,,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-052,Desde $110.000,"From $110,000",À partir de 110 000,,,
components/RoomsPage.tsx,RoomsPage,seq-053,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-054,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-055,1 camarote,1 bunk bed,1 lit superposé,,,
components/RoomsPage.tsx,RoomsPage,seq-056,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-057,1 doble + 1 camarote,1 double + 1 bunk,1 double + 1 superposé,,,
components/RoomsPage.tsx,RoomsPage,seq-058,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-059,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-060,Habitación Amalaya,Habitación Amalaya,Habitación Amalaya,,,
components/RoomsPage.tsx,RoomsPage,seq-061,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-062,,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-063,Desde $130.000,"From $130,000",À partir de 130 000,,,
components/RoomsPage.tsx,RoomsPage,seq-064,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-065,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-066,Baño privado exterior,Private outdoor bathroom,Salle de bain privée extérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-067,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-068,Baño privado exterior,Private outdoor bathroom,Salle de bain privée ext.,,,
components/RoomsPage.tsx,RoomsPage,seq-069,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-070,Habitación Pekao,Habitación Pekao,Habitación Pekao,,,
components/RoomsPage.tsx,RoomsPage,seq-071,Abrazada por la vegetación tropical,Embraced by tropical vegetation,Enlacée par la végétation tropicale,,,
components/RoomsPage.tsx,RoomsPage,seq-072,,An intimate refuge surrounded by palm trees and tropical flowers. Nature enters through open windows while you sleep wrapped in freshness.,Un refuge intime entouré de palmiers et de fleurs tropicales. La nature entre par les fenêtres ouvertes pendant que vous dormez enveloppé de fraîcheur.,,,
components/RoomsPage.tsx,RoomsPage,seq-073,Desde $140.000,"From $140,000",À partir de 140 000,,,
components/RoomsPage.tsx,RoomsPage,seq-074,por persona por noche,per person per night,par personne par nuit,,,
components/RoomsPage.tsx,RoomsPage,seq-075,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-076,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-077,1 cama doble,1 double bed,1 lit double,,,
components/RoomsPage.tsx,RoomsPage,seq-078,Baño interior,Indoor bathroom,Salle de bain intérieure,,,
components/RoomsPage.tsx,RoomsPage,seq-079,Viajeros conscientes,Conscious travelers,Voyageurs conscients,,,
components/RoomsPage.tsx,RoomsPage,seq-080,Habitación Kolaso,Habitación Kolaso,Habitación Kolaso,,,
